chlorides,free sulfur dioxide,total sulfur dioxide,fixed acidity,volatile acidity,citric acid,density
0.076,11,34,7.4,0.7,0,0.9978
0.098,25,67,7.8,0.88,0,0.9968
0.092,15,54,7.8,0.76,0.04,0.997
0.075,17,60,11.2,0.28,0.56,0.998
0.076,11,34,7.4,0.7,0,0.9978
0.075,13,40,7.4,0.66,0,0.9978
0.069,15,59,7.9,0.6,0.06,0.9964
0.065,15,21,7.3,0.65,0,0.9946
0.073,9,18,7.8,0.58,0.02,0.9968
0.071,17,102,7.5,0.5,0.36,0.9978
0.097,15,65,6.7,0.58,0.08,0.9959
0.071,17,102,7.5,0.5,0.36,0.9978
0.089,16,59,5.6,0.615,0,0.9943
0.114,9,29,7.8,0.61,0.29,0.9974
0.176,52,145,8.9,0.62,0.18,0.9986
0.17,51,148,8.9,0.62,0.19,0.9986
0.092,35,103,8.5,0.28,0.56,0.9969
0.368,16,56,8.1,0.56,0.28,0.9968
0.086,6,29,7.4,0.59,0.08,0.9974
0.341,17,56,7.9,0.32,0.51,0.9969
0.077,29,60,8.9,0.22,0.48,0.9968
0.082,23,71,7.6,0.39,0.31,0.9982
0.106,10,37,7.9,0.43,0.21,0.9966
0.084,9,67,8.5,0.49,0.11,0.9968
0.085,21,40,6.9,0.4,0.14,0.9968
0.08,11,23,6.3,0.39,0.16,0.9955
0.08,4,11,7.6,0.41,0.24,0.9962
0.106,10,37,7.9,0.43,0.21,0.9966
0.08,14,35,7.1,0.71,0,0.9972
0.082,8,16,7.8,0.645,0,0.9964
0.089,17,82,6.7,0.675,0.07,0.9958
0.105,22,37,6.9,0.685,0,0.9966
0.083,15,113,8.3,0.655,0.12,0.9966
0.073,40,83,6.9,0.605,0.12,0.9993
0.103,13,50,5.2,0.32,0.25,0.9957
0.086,5,18,7.8,0.645,0,0.9986
0.086,3,15,7.8,0.6,0.14,0.9975
0.066,13,30,8.1,0.38,0.28,0.9968
0.172,7,19,5.7,1.13,0.09,0.994
0.074,12,87,7.3,0.45,0.36,0.9978
0.074,12,87,7.3,0.45,0.36,0.9978
0.088,17,46,8.8,0.61,0.3,0.9976
0.332,8,14,7.5,0.49,0.2,0.9968
0.069,9,23,8.1,0.66,0.22,0.9968
0.05,5,11,6.8,0.67,0.02,0.9962
0.054,8,65,4.6,0.52,0.15,0.9934
0.114,22,114,7.7,0.935,0.43,0.997
0.113,12,37,8.7,0.29,0.52,0.9969
0.066,5,12,6.4,0.4,0.23,0.9958
0.074,12,96,5.6,0.31,0.37,0.9954
0.074,4,23,8.8,0.66,0.26,0.9971
0.069,8,15,6.6,0.52,0.04,0.9956
0.068,6,14,6.6,0.5,0.04,0.9955
0.081,30,119,8.6,0.38,0.36,0.997
0.11,33,73,7.6,0.51,0.15,0.9955
0.084,25,45,7.7,0.62,0.04,0.9978
0.07,4,10,10.2,0.42,0.57,0.9971
0.111,50,110,7.5,0.63,0.12,0.9983
0.076,17,54,7.8,0.59,0.18,0.9975
0.074,9,46,7.3,0.39,0.31,0.9962
0.079,19,52,8.8,0.4,0.4,0.998
0.115,20,112,7.7,0.69,0.49,0.9968
0.085,12,35,7.5,0.52,0.16,0.9968
0.081,13,54,7,0.735,0.05,0.9966
0.086,4,11,7.2,0.725,0.05,0.9962
0.086,4,11,7.2,0.725,0.05,0.9962
0.079,11,39,7.5,0.52,0.11,0.9968
0.076,6,15,6.6,0.705,0.07,0.9962
0.074,27,65,9.3,0.32,0.57,0.9969
0.074,8,19,8,0.705,0.05,0.9962
0.076,15,27,7.7,0.63,0.08,0.9967
0.088,17,96,7.7,0.67,0.23,0.9962
0.084,18,94,7.7,0.69,0.22,0.9961
0.084,11,43,8.3,0.675,0.26,0.9976
0.094,28,83,9.7,0.32,0.54,0.9984
0.093,9,42,8.8,0.41,0.64,0.9986
0.093,9,42,8.8,0.41,0.64,0.9986
0.104,14,30,6.8,0.785,0,0.9966
